,,true_att,false_att,true_AM,false_AM,true_VM,false_VM,true_AM_arch,false_AM_arch,true_VM_arch,false_VM_arch
0,0,297206,1574500,612106,1259600,612106,1385560,842401,1133640,486146,1385560
0,1,269680,1574500,584580,1259600,584580,1385560,805044,1133640,458620,1385560
0,2,269027,1573255,583927,1258355,583927,1384315,815532,1132395,457967,1384315
0,3,273614,1574500,588514,1259600,588514,1385560,789973,1133640,462554,1385560
1,0,268370,1574500,583270,1259600,583270,1385560,786039,1133640,457310,1385560
1,1,260506,1574500,575406,1259600,575406,1385560,814875,1133640,449446,1385560
1,2,269026,1574500,583926,1259600,583926,1385560,783418,1133640,457966,1385560
1,3,190972,1573911,505283,1259600,505872,1384971,752616,1133640,379912,1384971
1,4,272957,1574500,587857,1259600,587857,1385560,791936,1133640,461897,1385560
1,5,250675,1572601,565575,1257701,565575,1383661,811598,1131741,439615,1383661
